		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10001
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    5    3    5    4    3    3    1    2  8.022006 0.431323 SUCCESS   0
000000011    4    3    5    3    2    0    3    1  7.707565 0.462545 SUCCESS   1
000000101    5    2    3    4    2    5    1    2  7.896229 0.443672 SUCCESS   2
000000111    1    2    2    1    2    0    4    3  5.635568 0.687978 SUCCESS   3
000001001    3    5    3    1    0    1    1    4  9.213569 0.324601 SUCCESS   4
000001011    4    3    1    4    2    3    1    5  6.986007 0.538143 SUCCESS   5
000001101    6    4    1    1    3    3    3    4  9.653786 0.290171 SUCCESS   6
000001111    3    1    2    1    2    0    2    1  5.446904 0.708915 SUCCESS   7
000010001    2    4    1    2    4    1    2    1  4.914011 0.766726 SUCCESS   8
000010011    2    4    2    3    3    1    1    4  4.255341 0.833382 SUCCESS   9
000010101    5    3    5    3    0    3    5    4 12.384453 0.134857 SUCCESS  10
000010111    3    3    2    2    1    1    0    4  5.698457 0.680967 SUCCESS  11
000011001    1    0    3    5    3    2    3    4  7.707565 0.462545 SUCCESS  12
000011011    4    2    2    0    3    2    3    2  4.129564 0.845248 SUCCESS  13
000011101    2    1    1    5    4    0    6    3 13.701792 0.089877 SUCCESS  14
000011111    1    1    2    0    3    1    1    3  6.294238 0.614310 SUCCESS  15
000100011    4    3    1    3    4    1    2    1  5.039787 0.753315 SUCCESS  16
000100101    1    5    1    1    0    6    5    3 16.243795 0.039021 SUCCESS  17
000100111    2    5    4    3    1    2    0    2  7.581789 0.475349 SUCCESS  18
000101001    0    3    3    3    4    2    0    1  7.393125 0.494871 SUCCESS  19
000101011    1    4    4    1    2    1    4    3  5.950009 0.652832 SUCCESS  20
000101101    4    4    0    5    2    4    4    3  9.716674 0.285477 SUCCESS  21
000101111    5    3    1    3    2    5    0    6 14.737791 0.064449 SUCCESS  22
000110011    3    0    2    2    3    1    2    2  3.940900 0.862416 SUCCESS  23
000110101    6    1    2    1    3    4    4    3  9.590898 0.294921 SUCCESS  24
000110111    4    2    2    2    1    2    4    4  4.318229 0.827331 SUCCESS  25
000111001    1    4    3    2    1    3    2    5  6.012897 0.645787 SUCCESS  26
000111011    3    0    2    3    5    0    3    4  9.339345 0.314483 SUCCESS  27
000111101    4    3    0    2    1    1    2    3  5.698457 0.680967 SUCCESS  28
000111111    1    1    2    2    2    3    3    3  2.372008 0.967432 SUCCESS  29
001000011    1    1    4    3    6    2    3    4  9.590898 0.294921 SUCCESS  30
001000101    0    1    2    6    4    1    2    2 10.908238 0.206953 SUCCESS  31
001000111    5    1    2    3    2    2    3    2  4.255341 0.833382 SUCCESS  32
001001011    0    2    2    1    3    5    4    3  7.644677 0.468925 SUCCESS  33
001001101    1    4    5    0    1    4    2    3  9.339345 0.314483 SUCCESS  34
001001111    2    3    4    2    3    4    0    2  5.102675 0.746548 SUCCESS  35
001010011    2    7    2    3    6    1    2    1 16.369571 0.037386 SUCCESS  36
001010101    2    3    1    7    2    4    3    2 11.285566 0.186038 SUCCESS  37
001010111    1    3    3    2    2    3    2    1  2.372008 0.967432 SUCCESS  38
001011011    2    2    0    3    3    3    3    4  4.255341 0.833382 SUCCESS  39
001011101    1    2    2    4    1    1    1    2  4.725346 0.786488 SUCCESS  40
001011111    3    4    1    3    0    4    2    4  6.860231 0.551785 SUCCESS  41
001100101    3    2    4    4    1    3    2    3  3.533783 0.896552 SUCCESS  42
001100111    1    1    0    2    4    1    2    1  7.141573 0.521438 SUCCESS  43
001101011    3    1    6    0    5    3    2    5 14.737791 0.064449 SUCCESS  44
